Sample,1058,2022-12-05
Test,283,2022-12-05
Zero,0,2022-12-05
Sample,0,2022-12-05
Ayaya,0,2022-12-05
Raiden Shogun,1136,2022-12-06
Yae Miko,1237,2022-12-06
Sangonomiya Kokomi,892,2022-12-06
Childe,684,2022-12-06
SandroMarcosMANGO,1754,2022-12-06
BongBongMangoMangoGid,1136,2022-12-06
BongBongBangag,1576,2022-12-06
MarcosMagnanakaw!,1348,2022-12-06
Sample,0,2022-12-06
Zhongli,947,2022-12-06
HighScore,3396,2022-12-06
Nahida,1670,2022-12-06
Guest,0,2022-12-07
Guest,0,2022-12-07
Guest,0,2022-12-07
something,0,2022-12-07
Sample,1658,2022-12-09
MarcosNotAHero,2157,2022-12-09
,680,2022-12-10
Lucky,2512,2022-12-11
Sample,741,2022-12-12
Guest,0,2022-12-12
Guest,0,2022-12-12
Sample,1534,2022-12-14
Raiden Shogun,1948,2022-12-14
Guest,0,2022-12-14
MarcosKawatan,1533,2022-12-14
HIhi,1521,2022-12-14
Hahah,1156,2022-12-16
Andrew,0,2022-12-16
sample,224,2022-12-16
Guest,0,2022-12-16
SampleHahha,391,2022-12-21
Ole Ola,622,2022-12-21
Yae Miko,2241,2022-12-21
Guest,0,2022-12-23
Guest,0,2022-12-23
Guest,0,2022-12-23
SampleHahha,1082,2022-12-23
Ole Ola,2345,2022-12-23
Panos Panay,1119,2022-12-23
Sahahaha,794,2022-12-23
TEstUUUU,1580,2022-12-23
TestUUUWU,1046,2022-12-23
Hehhe,2203,2022-12-23
Hehhe,1510,2022-12-23
dfg,0,2022-12-23
sadas,0,2022-12-23
asdas,0,2022-12-23
Hehhe,688,2022-12-23
FinalTest,2232,2022-12-23
Hahha,1264,2022-12-23
Hehhe,1604,2022-12-23
asd,1472,2022-12-23
hehhe,110,2022-12-23
bitch,837,2022-12-25
Sample,1608,2023-01-17
